subject2	subject	TRIAL_INDEX	audio_file	KEYPRESS	RT	bias2	step	resp1	order	exclude	bias	session
1	F8	201	SIGNblend_30s70h.wav	a	1233	CAT_S	2	1	S_SH	1	2	1
1	F8	202	SIGNblend_60s40h.wav	a	1509	CAT_S	5	1	S_SH	1	2	1
1	F8	203	SIGNblend_50s50h.wav	a	1152	CAT_S	4	1	S_SH	1	2	1
1	F8	204	SIGNblend_40s60h.wav	a	1070	CAT_S	3	1	S_SH	1	2	1
1	F8	205	SIGNblend_50s50h.wav	a	1138	CAT_S	4	1	S_SH	1	2	1
1	F8	206	SIGNblend_60s40h.wav	a	1142	CAT_S	5	1	S_SH	1	2	1
1	F8	207	SIGNblend_70s30h.wav	a	1161	CAT_S	6	1	S_SH	1	2	1
1	F8	208	SIGNblend_20s80h.wav	l	1189	CAT_S	1	0	S_SH	1	2	1
1	F8	209	SIGNblend_30s70h.wav	l	1026	CAT_S	2	0	S_SH	1	2	1
1	F8	210	SIGNblend_70s30h.wav	a	1062	CAT_S	6	1	S_SH	1	2	1
1	F8	211	SIGNblend_20s80h.wav	l	1081	CAT_S	1	0	S_SH	1	2	1
1	F8	212	SIGNblend_60s40h.wav	a	1030	CAT_S	5	1	S_SH	1	2	1
1	F8	213	SIGNblend_40s60h.wav	a	1002	CAT_S	3	1	S_SH	1	2	1
1	F8	214	SIGNblend_70s30h.wav	a	1031	CAT_S	6	1	S_SH	1	2	1
1	F8	215	SIGNblend_50s50h.wav	a	970	CAT_S	4	1	S_SH	1	2	1
1	F8	216	SIGNblend_40s60h.wav	a	1071	CAT_S	3	1	S_SH	1	2	1
1	F8	217	SIGNblend_30s70h.wav	a	1050	CAT_S	2	1	S_SH	1	2	1
1	F8	218	SIGNblend_70s30h.wav	a	943	CAT_S	6	1	S_SH	1	2	1
1	F8	219	SIGNblend_80s20h.wav	a	922	CAT_S	7	1	S_SH	1	2	1
1	F8	220	SIGNblend_50s50h.wav	a	934	CAT_S	4	1	S_SH	1	2	1
1	F8	221	SIGNblend_30s70h.wav	a	1122	CAT_S	2	1	S_SH	1	2	1
1	F8	222	SIGNblend_50s50h.wav	a	1119	CAT_S	4	1	S_SH	1	2	1
1	F8	223	SIGNblend_30s70h.wav	a	1115	CAT_S	2	1	S_SH	1	2	1
1	F8	224	SIGNblend_50s50h.wav	a	1070	CAT_S	4	1	S_SH	1	2	1
1	F8	225	SIGNblend_60s40h.wav	a	1227	CAT_S	5	1	S_SH	1	2	1
1	F8	226	SIGNblend_70s30h.wav	a	1016	CAT_S	6	1	S_SH	1	2	1
1	F8	227	SIGNblend_60s40h.wav	a	1035	CAT_S	5	1	S_SH	1	2	1
1	F8	228	SIGNblend_40s60h.wav	a	1015	CAT_S	3	1	S_SH	1	2	1
1	F8	229	SIGNblend_20s80h.wav	l	1076	CAT_S	1	0	S_SH	1	2	1
1	F8	230	SIGNblend_40s60h.wav	a	960	CAT_S	3	1	S_SH	1	2	1
1	F8	231	SIGNblend_30s70h.wav	l	1379	CAT_S	2	0	S_SH	1	2	1
1	F8	232	SIGNblend_20s80h.wav	l	1285	CAT_S	1	0	S_SH	1	2	1
1	F8	233	SIGNblend_40s60h.wav	a	1095	CAT_S	3	1	S_SH	1	2	1
1	F8	234	SIGNblend_80s20h.wav	a	1053	CAT_S	7	1	S_SH	1	2	1
1	F8	235	SIGNblend_30s70h.wav	l	913	CAT_S	2	0	S_SH	1	2	1
