Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-brqh,checkpoint-xp91,checkpoint-i6ra,checkpoint-zs2s,checkpoint-a47v,checkpoint-1q1l,checkpoint-ulk4,checkpoint-84fo,checkpoint-satt,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fname,PCimageLeft,PCimageRight,LDimageLeft,LDimageRight,ShowProgressBar,LDbuttonLeft,LDbuttonRight,CorrectAnswer,PCbuttonLeft,PCbuttonRight,
1,1568312954182,12/09/2019 18:29:14,1568312953989,-4,12/09/2019 14:29:13,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1568312956562,12/09/2019 18:29:16,1568312956440,-4,12/09/2019 14:29:16,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,1,1,1,Screen 1,advancementZone,continue_button,2405.2650001831353,,,0,1,0,,,,,,Welcome,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
3,1568312958391,12/09/2019 18:29:18,1568312958255,-4,12/09/2019 14:29:18,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,1,Screen 1,advancementZone,continue_button,1802.4749998003244,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
4,1568312961063,12/09/2019 18:29:21,1568312960944,-4,12/09/2019 14:29:20,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,2,Screen 2,Zone3,continue_button,2682.2700002230704,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
5,1568312969276,12/09/2019 18:29:29,1568312969167,-4,12/09/2019 14:29:29,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,3,Screen 3,Zone4,continue_button,8216.74000006169,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
6,1568312973174,12/09/2019 18:29:33,1568312973063,-4,12/09/2019 14:29:33,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,4,Screen 4,Zone2,continue_button,3890.4849998652935,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
7,1568312974065,12/09/2019 18:29:34,1568312973922,-4,12/09/2019 14:29:33,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,1,Fixation,Zone1,content_audio,842.3650003969669,,,0,1,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
8,1568312975159,12/09/2019 18:29:35,1568312975044,-4,12/09/2019 14:29:35,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,2,LD screen,Zone1,response_keyboard_single,1115.7050002366304,no,1,1,0,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
9,1568312976143,12/09/2019 18:29:36,1568312976034,-4,12/09/2019 14:29:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,3,Screen 1,fixation,fixation,999.9600000000028,,,0,1,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
10,1568312977096,12/09/2019 18:29:37,1568312976982,-4,12/09/2019 14:29:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,185,2,1,Fixation,Zone1,content_audio,937.5499999150634,,,0,1,0,,,,,1,LD-S,SS002_AMB_colosseum.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
